Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_Type,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Tot_HCPCS_Cds,Tot_Benes,Tot_Srvcs,Tot_Sbmtd_Chrg,Tot_Mdcr_Alowd_Amt,Tot_Mdcr_Pymt_Amt,Tot_Mdcr_Stdzd_Amt,Drug_Tot_HCPCS_Cds,Drug_Tot_Benes,Drug_Tot_Srvcs,Drug_Mdcr_Pymt_Amt,Med_Tot_HCPCS_Cds,Med_Tot_Benes,Med_Tot_Srvcs,Med_Mdcr_Pymt_Amt,Bene_Avg_Age,Bene_Avg_Risk_Scre,Bene_Dual_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Avg_Pymt_Per_Srvc,Srvcs_Per_Bene,Pymt_Per_Bene,Sbmt_to_Allwd_Ratio,HCPCS_Variety
1003001983,Saddhra,Rorie,PT,I,Physical Therapist in Private Practice,Vinton,VA,24179,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,24,4094.0,171330.22,113410.04,89393.5,91124.97,0.0,0.0,0.0,0.0,8.0,24.0,4094.0,89393.5,74,1.0192,,,,21.84,170.58,3724.73,1.51,8
1003006198,Cinski,Laura,M.D.,I,Neurology,Fairfax,VA,22031,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7,137,242.0,80729.47,28631.94,22359.38,19898.46,0.0,0.0,0.0,0.0,7.0,137.0,242.0,22359.38,71,0.9983,16.0,104.0,33.0,92.39,1.77,163.21,2.82,7
1003006636,Hasan,Saba,MD,I,Diagnostic Radiology,Virginia Beach,VA,23462,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",31,1942,4022.0,386120.0,129140.26,119434.32,122067.64,0.0,0.0,0.0,0.0,31.0,1942.0,4022.0,119434.32,73,0.8278,65.0,1912.0,30.0,29.7,2.07,61.5,2.99,31
1003009119,Mohler,Troy,M.D.,I,Family Practice,Lovettsville,VA,20180,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",47,272,1046.5,193255.0,98134.33,75074.66,75566.88,9.0,85.0,97.5,9225.06,38.0,272.0,949.0,65849.6,74,0.9146,,143.0,129.0,71.74,3.85,276.01,1.97,47
1003012188,Spader,Heather,MD,I,Neurosurgery,Charlottesville,VA,22903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,11,17.0,29461.0,6871.29,5426.84,5203.5,0.0,0.0,0.0,0.0,11.0,11.0,17.0,5426.84,67,3.4974,,,,319.23,1.55,493.35,4.29,11
1003012451,Mitra,Ranjana,MD,I,Hospitalist,Norfolk,VA,23502,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",14,120,189.0,38230.0,18747.74,14160.98,14017.57,0.0,0.0,0.0,0.0,14.0,120.0,189.0,14160.98,74,1.9582,18.0,62.0,58.0,74.93,1.58,118.01,2.04,14
1003013210,Strand,Daniel,M.D.,I,Gastroenterology,Charlottesville,VA,22908,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",73,265,970.0,902292.0,140690.7,111090.24,103692.93,0.0,0.0,0.0,0.0,73.0,265.0,970.0,111090.24,73,1.9532,26.0,119.0,146.0,114.53,3.66,419.21,6.41,73
1003014986,Yuzefovich,Michael,M.D.,I,Obstetrics & Gynecology,Vienna,VA,22182,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,14,20.0,7950.0,2478.23,1946.28,1836.39,0.0,0.0,0.0,0.0,11.0,14.0,20.0,1946.28,46,1.781,,14.0,0.0,97.31,1.43,139.02,3.21,11
1003017286,Gaski,Greg,MD,I,Orthopedic Surgery,Fairfax,VA,22031,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",101,318,969.0,562024.72,204945.14,160738.83,143332.89,0.0,0.0,0.0,0.0,101.0,318.0,969.0,160738.83,79,1.5616,35.0,235.0,83.0,165.88,3.05,505.47,2.74,101
1003017682,Akhtar,Nauman,M.D.,I,Orthopedic Surgery,Leesburg,VA,20176,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",71,607,4005.0,1025623.0,363315.02,285563.05,292008.55,5.0,99.0,1691.0,25301.94,66.0,607.0,2314.0,260261.11,75,0.9826,52.0,378.0,229.0,71.3,6.6,470.45,2.82,71
1003019720,Maust,Nathan,MD,I,Emergency Medicine,Fishersville,VA,22939,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,462,693.0,629936.0,83878.87,67921.84,67605.47,0.0,0.0,0.0,0.0,24.0,462.0,693.0,67921.84,77,1.6061,55.0,253.0,209.0,98.01,1.5,147.02,7.51,24
1003020264,Hennessy,Sara,M.D.,I,General Surgery,Culpeper,VA,22701,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",59,168,341.0,393853.59,86521.32,67982.65,66255.19,0.0,0.0,0.0,0.0,59.0,168.0,341.0,67982.65,71,2.4555,27.0,77.0,91.0,199.36,2.03,404.66,4.55,59
1003020660,Tierney,Shannon,"MD, MS",I,General Surgery,Fishersville,VA,22939,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",40,178,477.0,177740.0,95069.53,73644.35,74304.05,0.0,0.0,0.0,0.0,40.0,178.0,477.0,73644.35,74,0.9719,,,,154.39,2.68,413.73,1.87,40
1003023359,Rackley,Justin,MD,I,Anesthesiology,Fredericksburg,VA,22401,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",23,47,120.0,532786.0,26134.58,20823.88,20613.39,0.0,0.0,0.0,0.0,23.0,47.0,120.0,20823.88,71,1.548,,23.0,24.0,173.53,2.55,443.06,20.39,23
1003023706,Nguyen,Van-Anh,MD,I,Family Practice,Annandale,VA,22003,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",49,129,1280.0,287185.0,130860.16,100458.85,88810.84,5.0,35.0,50.0,1021.24,44.0,129.0,1230.0,99437.61,77,1.2351,43.0,85.0,44.0,78.48,9.92,778.75,2.19,49
1003024829,Collins,Aimee,MD,I,Internal Medicine,Richmond,VA,23298,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,60,60.0,32941.0,9816.79,7322.61,7413.37,0.0,0.0,0.0,0.0,2.0,60.0,60.0,7322.61,72,2.7546,18.0,37.0,23.0,122.04,1.0,122.04,3.36,2
1003025727,Parker,Catherine,FNP,I,Nurse Practitioner,Roanoke,VA,24017,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12,40,107.0,9028.0,1230.32,1175.69,1163.61,0.0,0.0,0.0,0.0,12.0,40.0,107.0,1175.69,65,1.1445,18.0,28.0,12.0,10.99,2.68,29.39,7.34,12
1003027301,Butt,Ahmed,M.D.,I,Allergy/ Immunology,Fredericksburg,VA,22401,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",16,101,4515.0,92768.0,41781.63,31673.91,34567.39,0.0,0.0,0.0,0.0,16.0,101.0,4515.0,31673.91,72,0.8333,,60.0,41.0,7.02,44.7,313.6,2.22,16
1003027913,Olsen,Robin,MD,I,Hospitalist,Hampton,VA,23666,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16,398,439.0,170269.0,68922.35,53531.77,53072.42,0.0,0.0,0.0,0.0,16.0,398.0,439.0,53531.77,77,2.2884,45.0,220.0,178.0,121.94,1.1,134.5,2.47,16
1003028812,Dawson,Christopher,MD,I,Physical Medicine and Rehabilitation,Newport News,VA,23606,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",27,318,2821.0,419100.0,177104.56,135158.0,134692.15,2.0,116.0,1666.0,211.25,25.0,318.0,1155.0,134946.75,76,1.0285,,187.0,131.0,47.91,8.87,425.03,2.37,27
1003029620,Shilling,Alfred,MD,I,Diagnostic Radiology,Roanoke,VA,24014,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",138,3315,6154.0,1168611.23,215213.24,160834.51,150641.79,0.0,0.0,0.0,0.0,138.0,3315.0,6154.0,160834.51,79,1.8679,893.0,1878.0,1437.0,26.13,1.86,48.52,5.43,138
1003032046,Thompson,Christopher,PA-C,I,Physician Assistant,Virginia Beach,VA,23456,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",34,498,4847.0,319780.11,188765.3,135158.42,129776.64,3.0,14.0,2605.0,46805.33,31.0,498.0,2242.0,88353.09,74,1.032,81.0,166.0,332.0,27.88,9.73,271.4,1.69,34
1003032095,Blanco-Knezovich,Ameanthea,"DNP, FNP",I,Nurse Practitioner,Virginia Beach,VA,23455,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,744,1709.0,267049.0,152234.91,113167.79,114922.79,0.0,0.0,0.0,0.0,17.0,744.0,1709.0,113167.79,81,2.1729,187.0,500.0,244.0,66.22,2.3,152.11,1.75,17
1003036690,Segal,Cheryl,NP,I,Nurse Practitioner,Virginia Bch,VA,23462,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,17,28.0,2062.48,2032.15,1484.29,2277.73,0.0,0.0,0.0,0.0,1.0,17.0,28.0,1484.29,56,1.2307,,,,53.01,1.65,87.31,1.01,1
1003038118,Gazoni,Farnaz,MD,I,Anesthesiology,Charlottesville,VA,22908,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",21,48,48.0,194993.0,8364.05,6695.14,6496.74,0.0,0.0,0.0,0.0,21.0,48.0,48.0,6695.14,72,0.9601,,29.0,19.0,139.48,1.0,139.48,23.31,21
1003039892,White,Travis,MD,I,Family Practice,North Chesterfield,VA,23235,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12,25,34.0,9001.1,4290.77,3448.03,3410.15,0.0,0.0,0.0,0.0,12.0,25.0,34.0,3448.03,77,1.3903,,,,101.41,1.36,137.92,2.1,12
1003044140,Rehmann,Rebecca,D.O.,I,Family Practice,Bristow,VA,20136,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",26,127,267.0,30916.0,15800.54,11499.06,11480.3,,,,,,,,,75,1.0585,11.0,80.0,47.0,43.07,2.1,90.54,1.96,26
1003044694,Wilson,Lindsay,DO,I,Family Practice,Roanoke,VA,24017,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",13,112,236.0,66530.0,29129.46,22166.35,22596.03,0.0,0.0,0.0,0.0,13.0,112.0,236.0,22166.35,75,2.6405,20.0,55.0,57.0,93.93,2.11,197.91,2.28,13
1003045790,Dews,Adrian,D.O.,I,Emergency Medicine,Newport News,VA,23602,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9,130,141.0,200212.91,21010.49,16829.51,17115.13,0.0,0.0,0.0,0.0,9.0,130.0,141.0,16829.51,76,1.6721,18.0,73.0,57.0,119.36,1.08,129.46,9.53,9
1003048117,Agha,Haidr,M.D.,I,Nephrology,Virginia Beach,VA,23454,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",21,662,2202.0,774813.54,297023.14,227982.06,238676.91,,,,,,,,,76,3.5655,71.0,323.0,339.0,103.53,3.33,344.38,2.61,21
1003053158,Richmond County Board Of Supervisors,,,O,Ambulance Service Provider,Warsaw,VA,22572,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",4,207,4414.5,275472.0,191315.29,149441.16,122454.34,0.0,0.0,0.0,0.0,4.0,207.0,4414.5,149441.16,80,2.1688,43.0,136.0,71.0,33.85,21.33,721.94,1.44,4
1003056441,Gibbons,Janine,CRNA,I,Certified Registered Nurse Anesthetist (CRNA),Richmond,VA,23226,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",35,163,164.0,221800.9,22110.2,17973.19,18248.77,0.0,0.0,0.0,0.0,35.0,163.0,164.0,17973.19,73,1.0581,,92.0,71.0,109.59,1.01,110.26,10.03,35
1003058538,Jimenez-Tosado,Zahir,MD,I,Family Practice,Woodbridge,VA,22192,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",19,40,273.0,26689.23,9811.69,6896.78,6923.73,6.0,21.0,176.0,2202.24,13.0,40.0,97.0,4694.54,71,0.8603,,17.0,23.0,25.26,6.82,172.42,2.72,19
1003064270,Puig Rodriguez,Alvaro,M.D,I,Internal Medicine,Arlington,VA,22205,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",19,265,818.0,586042.07,99111.35,77330.33,70400.75,0.0,0.0,0.0,0.0,19.0,265.0,818.0,77330.33,78,1.5953,39.0,143.0,122.0,94.54,3.09,291.81,5.91,19
1003065582,Turner,Tiffany,MD,I,Internal Medicine,Arlington,VA,22205,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,341,867.0,212282.2,109830.89,86251.31,77588.16,0.0,0.0,0.0,0.0,8.0,341.0,867.0,86251.31,80,2.6135,63.0,165.0,176.0,99.48,2.54,252.94,1.93,8
1003071994,Dabhiya,Munira,MD,I,Hospitalist,Leesburg,VA,20176,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,114,116.0,134305.24,20403.68,15590.16,14635.93,0.0,0.0,0.0,0.0,4.0,114.0,116.0,15590.16,78,1.6744,12.0,58.0,56.0,134.4,1.02,136.76,6.58,4
1003072406,Dukarm,Paul,PH.D.,I,"Psychologist, Clinical",Richmond,VA,23235,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9,42,528.0,155471.0,28697.65,22498.05,22988.6,0.0,0.0,0.0,0.0,9.0,42.0,528.0,22498.05,72,1.3794,,23.0,19.0,42.61,12.57,535.67,5.42,9
1003073685,Gonzalo,Jed,M.D.,I,Internal Medicine,Roanoke,VA,24016,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",13,44,104.0,18540.0,10498.05,8377.13,8406.97,0.0,0.0,0.0,0.0,13.0,44.0,104.0,8377.13,75,2.247,,24.0,20.0,80.55,2.36,190.39,1.77,13
1003074071,Bresowar,Kristin,M.D.,I,Family Practice,Saltville,VA,24370,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",26,133,334.0,20234.0,5541.38,5188.12,5396.24,,,,,,,,,71,1.1326,46.0,87.0,46.0,15.53,2.51,39.01,3.65,26
1003074139,Bertomeu,Vincent,O.D.,I,Optometry,Reston,VA,20190,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,17,21.0,2390.0,2036.51,1375.71,1205.19,0.0,0.0,0.0,0.0,6.0,17.0,21.0,1375.71,74,0.8877,,,,65.51,1.24,80.92,1.17,6
